k,pof,lambda_param,max_welfare_cost,fcbc_objective,runtime,group_0_cost,group_1_cost,group_0_distance_cost,group_1_distance_cost,group_0_avg_cost,group_1_avg_cost
4,1.05,0.5,1.4840251346462312,171.44822578545217,9.08117371800472,1.441151309460251,1.4840251346462312,2.882154788920502,2.9680502692924624,824.25,1675.75
4,1.10625,0.5,1.4839529822785937,171.4502326214426,8.614390325004933,1.4413710327062537,1.4839529822785937,2.882656885412507,2.9679059645571875,824.25,1675.75
4,1.1625,0.5,1.4838103404748884,171.44438864209266,8.930300670006545,1.4413774409512625,1.4838103404748884,2.8826290919025253,2.9676206809497767,824.25,1675.75
4,1.21875,0.5,1.4841630234249081,171.45128692934767,9.014015208987985,1.4409949363544885,1.4841630234249081,2.881912472708977,2.9683260468498163,824.25,1675.75
4,1.275,0.5,1.82319254940938,182.12219936255903,8.66566959800548,1.3240058079060362,1.82319254940938,2.6478887658120724,3.64638509881876,824.25,1675.75
4,1.33125,0.5,1.4840555738829078,171.4462623989204,8.820466270000907,1.4409872795186653,1.4840555738829078,2.8818268190373306,2.9681111477658155,824.25,1675.75
4,1.3875,0.5,1.4847002430521523,171.45585555893138,8.583421594987158,1.4401585195264426,1.4847002430521523,2.880203369052885,2.9694004861043046,824.25,1675.75
4,1.44375,0.5,1.4839068089869312,171.45172643514775,8.578424365987303,1.4415519137035966,1.4839068089869312,2.882999997407193,2.9678136179738623,824.25,1675.75
4,1.5,0.5,1.483974261420265,171.44813523238307,8.799234723002883,1.4412368038630219,1.483974261420265,2.882352157726044,2.96794852284053,824.25,1675.75
5,1.05,0.5,1.2838996575014165,159.56959320832215,10.848441654001364,1.251642364294604,1.2838996575014165,2.503158188589208,2.567799315002833,659.4,1340.6
5,1.10625,0.5,1.3788184196354163,163.91158987040856,10.533889455982717,1.3788184196354163,1.3261391945441796,2.7574573892708325,2.6522783890883592,659.4,1340.6
5,1.1625,0.5,1.2843782658649796,159.5807642825256,10.391406587994425,1.2512109399957771,1.2843782658649796,2.5022940399915545,2.568756531729959,659.4,1340.6
5,1.21875,0.5,1.2829282509753162,159.55966127146488,10.34286545298528,1.2531521807191919,1.2829282509753162,2.5061463114383837,2.5658565019506323,659.4,1340.6
5,1.275,0.5,1.2838157632512857,159.5683267427431,10.432711581990588,1.251783486205682,1.2838157632512857,2.503376672411364,2.5676315265025713,659.4,1340.6
5,1.33125,0.5,1.2844073538644414,159.5821629852887,10.762603846000276,1.251190864252149,1.2844073538644414,2.502311208504298,2.5688147077288828,659.4,1340.6
5,1.3875,0.5,1.2832114305078652,159.5622286507152,10.452192440017823,1.252682185701928,1.2832114305078652,2.5052434614038557,2.5664228610157305,659.4,1340.6
5,1.44375,0.5,1.2841784960869098,159.57178508129968,10.288218338013394,1.2511679576320214,1.2841784960869098,2.5022369052640427,2.5683569921738196,659.4,1340.6
5,1.5,0.5,1.2843409486579518,159.5813376418106,10.575396760017613,1.2513090727985845,1.2843409486579518,2.502501295597169,2.5686818973159036,659.4,1340.6
6,1.05,0.5,1.191083675160509,152.26667775199792,12.931248339999,1.191083675160509,1.143806372495138,2.382000950321018,2.287612744990276,549.5,1117.1666666666667
6,1.10625,0.5,1.1909918004267575,152.26428291411233,12.765752201987198,1.1909918004267575,1.1437919585457461,2.381838390853515,2.2875839170914922,549.5,1117.1666666666667
6,1.1625,0.5,1.1789933100989867,152.59395113460434,12.18708752602106,1.1346686205192107,1.1789933100989867,2.2691905210384213,2.3579866201979733,549.5,1117.1666666666667
6,1.21875,0.5,1.178836316798262,152.595152959439,12.200844117003726,1.1350341698825979,1.178836316798262,2.2699402697651956,2.357672633596524,549.5,1117.1666666666667
6,1.275,0.5,1.167556607077846,152.6275584803953,12.166745099995753,1.1594762800136582,1.167556607077846,2.3188061700273166,2.335113214155692,549.5,1117.1666666666667
6,1.33125,0.5,1.1787523141617653,152.5948334917118,12.332721468992531,1.1351719575487815,1.1787523141617653,2.2702523950975633,2.3575046283235306,549.5,1117.1666666666667
6,1.3875,0.5,1.2863035386763726,158.58991650680238,12.669175159011502,1.2863035386763726,1.243611776367039,2.572426317352745,2.487223552734078,549.5,1117.1666666666667
