k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime,alpha,beta
4,1.05,0.5,2.1802273944601778,"{0: 2.1802273944601778, 1: 1.4840251346462312}",171.44822578545217,9.08117371800472,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.10625,0.5,1.8672284427061692,"{0: 1.8672284427061692, 1: 1.4839529822785937}",171.4502326214426,8.614390325004933,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.1625,0.5,2.070264545951161,"{0: 2.070264545951161, 1: 1.4838103404748884}",171.44438864209266,8.930300670006545,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.21875,0.5,1.8279562363544484,"{0: 1.8279562363544484, 1: 1.4841630234249081}",171.45128692934767,9.014015208987985,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.275,0.5,1.9381943829059392,"{0: 1.9381943829059392, 1: 1.82319254940938}",182.12219936255903,8.66566959800548,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.33125,0.5,2.1796134095185473,"{0: 2.1796134095185473, 1: 1.4840555738829078}",171.4462623989204,8.820466270000907,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.3875,0.5,2.008451684526415,"{0: 2.008451684526415, 1: 1.4847002430521523}",171.45585555893138,8.583421594987158,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.44375,0.5,1.9606499987035761,"{0: 1.9606499987035761, 1: 1.4839068089869312}",171.45172643514775,8.578424365987303,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
4,1.5,0.5,2.0484260788630024,"{0: 2.0484260788630024, 1: 1.483974261420265}",171.44813523238307,8.799234723002883,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.05,0.5,1.8842790942945806,"{0: 1.8842790942945806, 1: 1.2838996575014165}",159.56959320832215,10.848441654001364,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.10625,0.5,2.2759786946353096,"{0: 2.2759786946353096, 1: 1.3261391945441796}",163.91158987040856,10.533889455982717,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.1625,0.5,1.890347019995712,"{0: 1.890347019995712, 1: 1.2843782658649796}",159.5807642825256,10.391406587994425,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.21875,0.5,2.043323155719157,"{0: 2.043323155719157, 1: 1.2829282509753162}",159.55966127146488,10.34286545298528,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.275,0.5,2.203188336205546,"{0: 2.203188336205546, 1: 1.2838157632512857}",159.5683267427431,10.432711581990588,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.33125,0.5,1.6037556042521186,"{0: 1.6037556042521186, 1: 1.2844073538644414}",159.5821629852887,10.762603846000276,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.3875,0.5,1.8571717307018485,"{0: 1.8571717307018485, 1: 1.2832114305078652}",159.5622286507152,10.452192440017823,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.44375,0.5,1.7461684526320067,"{0: 1.7461684526320067, 1: 1.2841784960869098}",159.57178508129968,10.288218338013394,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
5,1.5,0.5,1.8355006477985247,"{0: 1.8355006477985247, 1: 1.2843409486579518}",159.5813376418106,10.575396760017613,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.05,0.5,2.023000475160441,"{0: 2.023000475160441, 1: 1.143806372495138}",152.26667775199792,12.931248339999,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.10625,0.5,1.916969195426653,"{0: 1.916969195426653, 1: 1.1437919585457461}",152.26428291411233,12.765752201987198,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.1625,0.5,1.8681952605191563,"{0: 1.8681952605191563, 1: 1.1789933100989867}",152.59395113460434,12.18708752602106,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
6,1.21875,0.5,1.7753201348825525,"{0: 1.7753201348825525, 1: 1.178836316798262}",152.595152959439,12.200844117003726,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
