k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime
6,1.05,0.5,125.81370047516049,"{0: 125.81370047516049, 1: 125.76650637249512}",152.26667775199792,12.931248339999
6,1.10625,0.5,126.14331919542677,"{0: 126.14331919542677, 1: 126.09619195854572}",152.26428291411233,12.765752201987198
6,1.1625,0.5,87.78559331009889,"{0: 87.74119526051919, 1: 87.78559331009889}",152.59395113460434,12.18708752602106
6,1.21875,0.5,89.12603631679829,"{0: 89.08217013488262, 1: 89.12603631679829}",152.595152959439,12.200844117003726
6,1.275,0.5,130.6185566070778,"{0: 130.61040308501367, 1: 130.6185566070778}",152.6275584803953,12.166745099995753
6,1.33125,0.5,88.76355231416171,"{0: 88.71992619754876, 1: 88.76355231416171}",152.5948334917118,12.332721468992531
6,1.3875,0.5,130.44531315867638,"{0: 130.44531315867638, 1: 130.4027117763669}",158.58991650680238,12.669175159011502
6,1.44375,0.5,123.98606649342021,"{0: 123.54316879549653, 1: 123.98606649342021}",170.3759498539525,12.36386761799804
6,1.5,0.5,139.14868257363966,"{0: 139.14868257363966, 1: 139.1452484088466}",153.64044284691093,12.176710441999605
