k,lambda_param,objective,runtime,num_points,timestamp,alpha,beta
9,0.5,18201.536904861885,,10000,2025-04-26T15:08:08.323160,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,0.5,17328.65856692491,,10000,2025-04-26T15:08:23.107623,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,0.5,15956.870976231938,,10000,2025-04-26T15:08:38.771799,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,0.5,15518.507286963519,,10000,2025-04-26T15:08:56.832683,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,0.5,15054.405994295015,,10000,2025-04-26T15:09:19.781697,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,0.5,14340.827570411218,,10000,2025-04-26T15:09:34.862316,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,0.5,13845.857988882572,,10000,2025-04-26T15:09:51.925898,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
