k,method,lambda_param,max_welfare_cost,runtime,group_0_cost,group_1_cost,group_0_distance_cost,group_1_distance_cost
4,fair,0.0,0.030273639999999984,0.06668565273284913,0.030273639999999984,0.00935683999999996,2.7388496402057068,3.627409599853896
5,fair,0.0,0.035812249999999976,0.07208595275878907,0.035812249999999976,0.01184103999999998,2.362809502217455,2.6076138190843596
6,fair,0.0,0.03157149999999998,0.08596131801605225,0.03157149999999998,0.016423129999999956,2.166767116627057,2.2568686960554567
7,fair,0.0,0.025421749999999993,0.07836356163024902,0.025421749999999993,0.016943959999999994,1.8850295678665714,2.141322900087616
8,fair,0.0,0.03103528999999997,0.08263182640075684,0.03103528999999997,0.016552799999999986,1.74318654136291,1.9901634401262045
9,fair,0.0,0.038913009999999984,0.09065423011779786,0.038913009999999984,0.02572767999999998,1.6360098296150556,1.8495165673155072
10,fair,0.0,0.03527598999999998,0.09604666233062745,0.03527598999999998,0.022088949999999986,1.5497999841804109,1.728817186594827
11,fair,0.0,0.03361152999999998,0.1119870662689209,0.03361152999999998,0.021043149999999986,1.447890731509734,1.5957638135436405
12,fair,0.0,0.03527994999999999,0.10521748065948486,0.03527994999999999,0.02215948999999998,1.3865409847316483,1.541516882543241
13,fair,0.0,0.04248758999999999,0.11895051002502441,0.04248758999999999,0.027683319999999973,1.360439640097151,1.4705821756902775
14,fair,0.0,0.035074529999999986,0.11795129776000976,0.035074529999999986,0.023435679999999983,1.296299203082391,1.4151581360570076
15,fair,0.0,0.03352766999999998,0.14175126552581788,0.03352766999999998,0.02250440999999998,1.2718451064335294,1.352310198458399
