k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime
4,1.05,0.5,132.13632513464623,"{0: 132.09337739446025, 1: 132.13632513464623}",171.44822578545217,9.08117371800472
4,1.10625,0.5,131.8065529822786,"{0: 131.76392844270623, 1: 131.8065529822786}",171.4502326214426,8.614390325004933
4,1.1625,0.5,132.5094103404748,"{0: 132.46691454595125, 1: 132.5094103404748}",171.44438864209266,8.930300670006545
4,1.21875,0.5,132.1909630234249,"{0: 132.14775623635447, 1: 132.1909630234249}",171.45128692934767,9.014015208987985
4,1.275,0.5,124.18989254940934,"{0: 123.69064438290602, 1: 124.18989254940934}",182.12219936255903,8.66566959800548
4,1.33125,0.5,132.86115557388294,"{0: 132.81801340951858, 1: 132.86115557388294}",171.4462623989204,8.820466270000907
4,1.3875,0.5,132.52120024305216,"{0: 132.47660168452646, 1: 132.52120024305216}",171.45585555893138,8.583421594987158
4,1.44375,0.5,132.1580068089869,"{0: 132.11559999870366, 1: 132.1580068089869}",171.45172643514775,8.578424365987303
4,1.5,0.5,132.13627426142028,"{0: 132.09347607886303, 1: 132.13627426142028}",171.44813523238307,8.799234723002883
