k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime
8,1.05,0.5,144.3110897676652,"{0: 144.3110897676652, 1: 144.26239994464117}",140.57456270127108,17.146938853984466
8,1.10625,0.5,142.67301294312534,"{0: 142.67301294312534, 1: 142.62507578244382}",140.57653220208098,20.292255745007424
8,1.1625,0.5,130.1544666709983,"{0: 130.1544666709983, 1: 130.13940635831898}",141.14378383904742,24.868406494992087
8,1.21875,0.5,126.10834806118102,"{0: 126.10834806118102, 1: 126.0619008839293}",144.0428583389618,29.38529052099329
8,1.275,0.5,130.49470224799487,"{0: 130.49470224799487, 1: 130.4802484999781}",141.14677030680664,18.93402748601511
8,1.33125,0.5,143.6515266364565,"{0: 143.6515266364565, 1: 143.6030537258041}",140.57330054872114,21.036080864985703
8,1.3875,0.5,136.13544083279072,"{0: 136.13544083279072, 1: 136.047012930055}",143.7964568897832,17.460848360002274
8,1.44375,0.5,141.0384957048472,"{0: 141.0384957048472, 1: 141.03307669752954}",142.04007235790843,17.812514160992578
8,1.5,0.5,143.59623254441715,"{0: 143.59623254441715, 1: 143.54852721983332}",140.55341145428747,18.45559462098754
