k,pof,lambda_param,max_welfare_cost,fcbc_objective,runtime,group_0_cost,group_1_cost,group_0_distance_cost,group_1_distance_cost,group_0_avg_cost,group_1_avg_cost
4,1.05,0.0,0.0001478299999999853,171.44822578545217,9.08117371800472,0.0001478299999999853,0.0,2.882154788920502,2.9680502692924624,824.25,1675.75
4,1.10625,0.0,8.517999999998312e-05,171.4502326214426,8.614390325004933,8.517999999998312e-05,0.0,2.882656885412507,2.9679059645571875,824.25,1675.75
4,1.1625,0.0,0.00012578999999997964,171.44438864209266,8.930300670006545,0.00012578999999997964,0.0,2.8826290919025253,2.9676206809497767,824.25,1675.75
4,1.21875,0.0,7.739999999999196e-05,171.45128692934767,9.014015208987985,7.739999999999196e-05,0.0,2.881912472708977,2.9683260468498163,824.25,1675.75
4,1.275,0.0,0.00012284999999998057,182.12219936255903,8.66566959800548,0.00012284999999998057,0.0,2.6478887658120724,3.64638509881876,824.25,1675.75
4,1.33125,0.0,0.00014773999999997636,171.4462623989204,8.820466270000907,0.00014773999999997636,0.0,2.8818268190373306,2.9681111477658155,824.25,1675.75
4,1.3875,0.0,0.00011366999999999454,171.45585555893138,8.583421594987158,0.00011366999999999454,0.0,2.880203369052885,2.9694004861043046,824.25,1675.75
4,1.44375,0.0,0.00010382999999999592,171.45172643514775,8.578424365987303,0.00010382999999999592,0.0,2.882999997407193,2.9678136179738623,824.25,1675.75
4,1.5,0.0,0.00012144999999999611,171.44813523238307,8.799234723002883,0.00012144999999999611,0.0,2.882352157726044,2.96794852284053,824.25,1675.75
5,1.05,0.0,0.00012653999999999536,159.56959320832215,10.848441654001364,0.00012653999999999536,0.0,2.503158188589208,2.567799315002833,659.4,1340.6
5,1.10625,0.0,0.00017944999999997864,163.91158987040856,10.533889455982717,0.00017944999999997864,0.0,2.7574573892708325,2.6522783890883592,659.4,1340.6
5,1.1625,0.0,0.00012783999999998696,159.5807642825256,10.391406587994425,0.00012783999999998696,0.0,2.5022940399915545,2.568756531729959,659.4,1340.6
5,1.21875,0.0,0.00015804999999999305,159.55966127146488,10.34286545298528,0.00015804999999999305,0.0,2.5061463114383837,2.5658565019506323,659.4,1340.6
5,1.275,0.0,0.00019029999999997283,159.5683267427431,10.432711581990588,0.00019029999999997283,0.0,2.503376672411364,2.5676315265025713,659.4,1340.6
5,1.33125,0.0,7.05199999999939e-05,159.5821629852887,10.762603846000276,7.05199999999939e-05,0.0,2.502311208504298,2.5688147077288828,659.4,1340.6
5,1.3875,0.0,0.00012090999999998411,159.5622286507152,10.452192440017823,0.00012090999999998411,0.0,2.5052434614038557,2.5664228610157305,659.4,1340.6
5,1.44375,0.0,9.900999999999706e-05,159.57178508129968,10.288218338013394,9.900999999999706e-05,0.0,2.5022369052640427,2.5683569921738196,659.4,1340.6
5,1.5,0.0,0.00011684999999998804,159.5813376418106,10.575396760017613,0.00011684999999998804,0.0,2.502501295597169,2.5686818973159036,659.4,1340.6
6,1.05,0.0,0.00016639999999998637,152.26667775199792,12.931248339999,0.00016639999999998637,0.0,2.382000950321018,2.287612744990276,549.5,1117.1666666666667
6,1.10625,0.0,0.0001452099999999791,152.26428291411233,12.765752201987198,0.0001452099999999791,0.0,2.381838390853515,2.2875839170914922,549.5,1117.1666666666667
6,1.1625,0.0,0.00014671999999998914,152.59395113460434,12.18708752602106,0.00014671999999998914,0.0,2.2691905210384213,2.3579866201979733,549.5,1117.1666666666667
6,1.21875,0.0,0.00012806999999999093,152.595152959439,12.200844117003726,0.00012806999999999093,0.0,2.2699402697651956,2.357672633596524,549.5,1117.1666666666667
6,1.275,0.0,0.00014638999999999213,152.6275584803953,12.166745099995753,0.00014638999999999213,0.0,2.3188061700273166,2.335113214155692,549.5,1117.1666666666667
6,1.33125,0.0,9.151999999999658e-05,152.5948334917118,12.332721468992531,9.151999999999658e-05,0.0,2.2702523950975633,2.3575046283235306,549.5,1117.1666666666667
6,1.3875,0.0,0.00018075999999998972,158.58991650680238,12.669175159011502,0.00018075999999998972,0.0,2.572426317352745,2.487223552734078,549.5,1117.1666666666667
6,1.44375,0.0,6.453999999999548e-05,170.3759498539525,12.36386761799804,6.453999999999548e-05,0.0,2.309337590993095,3.1951329868404623,549.5,1117.1666666666667
6,1.5,0.0,0.00010696999999997605,153.64044284691093,12.176710441999605,0.00010696999999997605,0.0,2.3653651472794097,2.3584968176930774,549.5,1117.1666666666667
7,1.05,0.0,0.00017198999999999386,147.2347575159766,14.34559747899766,0.00017198999999999386,0.0,2.117151120702315,2.193027195582573,471.0,957.5714285714286
7,1.10625,0.0,0.00010964999999999529,146.20165493033593,14.197673942020629,0.00010964999999999529,0.0,2.161433302469133,2.126016473189563,471.0,957.5714285714286
7,1.1625,0.0,0.00016847999999998684,146.20561558887218,14.175891620019684,0.00016847999999998684,0.0,2.1617218280744157,2.1260474584347016,471.0,957.5714285714286
7,1.21875,0.0,0.00014415999999999773,147.23729616671883,13.978418179001892,0.00014415999999999773,0.0,2.1177932321894417,2.1928231765371082,471.0,957.5714285714286
7,1.275,0.0,0.00012175999999999519,146.2015672152581,15.192526624014135,0.00012175999999999519,0.0,2.159112712138943,2.1271544966804115,471.0,957.5714285714286
7,1.33125,0.0,8.899999999999859e-05,146.2088275027734,15.091650512011256,8.899999999999859e-05,0.0,2.162250674694162,2.12592748016795,471.0,957.5714285714286
7,1.3875,0.0,0.00017357999999998553,149.41081850018625,15.796009241021238,0.00017357999999998553,0.0,2.247179338957515,2.2253827416476457,471.0,957.5714285714286
7,1.44375,0.0,0.00012593999999998922,148.61354634359097,18.987056592974117,0.00012593999999998922,0.0,2.2927484781559277,2.1675172284346305,471.0,957.5714285714286
7,1.5,0.0,0.00010474999999998742,146.20694121810445,32.51965006699902,0.00010474999999998742,0.0,2.1617967803317333,2.1260684067066684,471.0,957.5714285714286
8,1.05,0.0,7.831999999999178e-05,140.57456270127108,17.146938853984466,7.831999999999178e-05,0.0,2.041579535330324,1.9441998892823393,412.125,837.875
8,1.10625,0.0,0.00011524999999999724,140.57653220208098,20.292255745007424,0.00011524999999999724,0.0,2.0406258862506452,1.9447515648876583,412.125,837.875
8,1.1625,0.0,0.00018196999999998834,141.14378383904742,24.868406494992087,0.00018196999999998834,0.0,2.0125333419965354,1.98241271663807,412.125,837.875
8,1.21875,0.0,0.00010310999999999685,144.0428583389618,29.38529052099329,0.00010310999999999685,0.0,2.1372961223619744,2.0444017678587385,412.125,837.875
