k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime
5,1.05,0.5,124.54429965750147,"{0: 124.51197909429469, 1: 124.54429965750147}",159.56959320832215,10.848441654001364
5,1.10625,0.5,126.67742869463534,"{0: 126.67742869463534, 1: 126.62483919454414}",163.91158987040856,10.533889455982717
5,1.1625,0.5,123.80907826586508,"{0: 123.77584701999582, 1: 123.80907826586508}",159.5807642825256,10.391406587994425
5,1.21875,0.5,123.8730282509753,"{0: 123.84317315571917, 1: 123.8730282509753}",159.55966127146488,10.34286545298528
5,1.275,0.5,124.52241576325133,"{0: 124.49028833620568, 1: 124.52241576325133}",159.5683267427431,10.432711581990588
5,1.33125,0.5,125.46850735386431,"{0: 125.43525560425218, 1: 125.46850735386431}",159.5821629852887,10.762603846000276
5,1.3875,0.5,123.55451143050784,"{0: 123.52392173070193, 1: 123.55451143050784}",159.5622286507152,10.452192440017823
5,1.44375,0.5,121.8960784960869,"{0: 121.86301845263206, 1: 121.8960784960869}",159.57178508129968,10.288218338013394
5,1.5,0.5,125.11694094865797,"{0: 125.0838506477986, 1: 125.11694094865797}",159.5813376418106,10.575396760017613
