k,lambda_param,max_welfare_cost,runtime,group_0_cost,group_1_cost,group_0_distance_cost,group_1_distance_cost,group_0_avg_cost,group_1_avg_cost
4,0.0,0.0008142299999999994,,0.0008142299999999994,0.00023962999999999865,5.869017336181366,7.720880399198277,824.25,1675.7499999999998
5,0.0,0.0005505399999999987,,0.0005505399999999987,6.850999999999976e-05,12.269176464896967,11.197287334134742,659.4,1340.6
6,0.0,0.0005032699999999999,,0.0005032699999999999,0.00022786999999999913,9.776374945264351,10.333355282384112,549.5,1117.1666666666667
7,0.0,0.00045559999999999844,,0.00045559999999999844,0.0,178.01186852878106,176.86626608075952,471.0,957.5714285714286
8,0.0,0.0010954999999999993,,0.0010954999999999993,0.0003343799999999991,6.604230041933887,7.595158758523947,412.125,837.875
9,0.0,0.0014022799999999986,,0.0014022799999999986,0.0003935199999999987,8.37650228280503,11.739609618805849,366.33333333333337,744.7777777777778
10,0.0,0.0005513899999999984,,0.0005513899999999984,1.3199999999999879e-05,14.48649655894467,14.614501727608532,329.7,670.3
11,0.0,0.0011598699999999995,,0.0011598699999999995,0.00039361999999999915,8.366642805200998,8.392615670761913,299.72727272727275,609.3636363636364
12,0.0,0.0014781499999999995,,0.0014781499999999995,0.0006553499999999993,12.016348667825584,14.275188813548557,274.75,558.5833333333334
13,0.0,0.0012483599999999994,,0.0012483599999999994,0.0005060499999999989,175.00177024653178,173.5953863875139,253.6153846153846,515.6153846153846
14,0.0,0.0013553299999999988,,0.0013553299999999988,0.00038830999999999946,6.126014412169002,7.457331790014689,235.5,478.7857142857143
15,0.0,0.0035445099999999977,,0.0035445099999999977,0.0018462599999999967,23.40955119069731,22.96349795891792,219.8,446.8666666666667
