k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime
7,1.05,0.5,126.77341359779129,"{0: 126.73547556035119, 1: 126.77341359779129}",147.2347575159766,14.34559747899766
7,1.10625,0.5,121.92151665123457,"{0: 121.92151665123457, 1: 121.90380823659481}",146.20165493033593,14.197673942020629
7,1.1625,0.5,123.26226091403723,"{0: 123.26226091403723, 1: 123.24442372921733}",146.20561558887218,14.175891620019684
7,1.21875,0.5,127.09211158826835,"{0: 127.05459661609478, 1: 127.09211158826835}",147.23729616671883,13.978418179001892
7,1.275,0.5,125.18465635606941,"{0: 125.18465635606941, 1: 125.16867724834009}",146.2015672152581,15.192526624014135
7,1.33125,0.5,123.5922253373471,"{0: 123.5922253373471, 1: 123.57406374008389}",146.2088275027734,15.091650512011256
7,1.3875,0.5,139.37288966947875,"{0: 139.37288966947875, 1: 139.36199137082374}",149.41081850018625,15.796009241021238
7,1.44375,0.5,120.88617423907796,"{0: 120.88617423907796, 1: 120.82355861421733}",148.61354634359097,18.987056592974117
7,1.5,0.5,123.59199839016586,"{0: 123.59199839016586, 1: 123.57413420335331}",146.20694121810445,32.51965006699902
