k,lambda_param,objective,runtime,num_points,timestamp,alpha,beta
9,0.5,18908.324198856833,,10000,2025-04-27T11:18:17.165060,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,0.5,17200.79483772458,,10000,2025-04-27T11:18:27.177655,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
11,0.5,15997.881117418057,,10000,2025-04-27T11:18:39.794042,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
12,0.5,15695.188918700755,,10000,2025-04-27T11:18:51.534802,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
13,0.5,14796.898939536342,,10000,2025-04-27T11:19:06.669695,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
14,0.5,14084.976821783725,,10000,2025-04-27T11:19:20.472526,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,0.5,13676.497287846452,,10000,2025-04-27T11:19:36.172837,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
